"AASPECIES","Asparagus.acutifolius","Crataegus.monogyna","Daphne.gnidium","Lonicera.periclymenum","Myrtus.communis","Olea.europaea","Osyris.alba","Phillyrea.angustifolia","Pistacia.lentiscus","Pyrus.bourgaeana","Rhamnus.lycioides","Rubia.pregrina","Rubus.ulmifolius","Smilax.aspera","Tamus.communis"
"Alectoris.rufa",0,0,0,0,0,2,0,0,6,0,0,0,0,0,0
"Carduelis.chloris",0,0,0,0,0,23,0,0,224,0,0,0,0,0,0
"Coccothraustes.coccothraustes",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Columba.palumbus",0,0,0,0,0,18,0,0,35,0,0,0,0,0,0
"Corvus.corax",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Corvus.monedula",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"Cyanopica.cyanus",0,8,0,0,14,42,0,0,137,65,9,0,8,0,0
"Emberiza.calandra",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"Erithacus.rubecula",0,0,0,0,0,2,0,0,117,0,0,0,0,0,0
"Ficedula.hypoleuca",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Fringilla.coelebs",0,0,0,0,0,3,0,0,32,0,0,0,0,0,0
"Luscinia.megarhynchos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muscicapa.striata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Parus.caeruleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parus.major",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"Passer.domesticus",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"Phoenicurus.ochruros",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Phoenicurus.phoenicurus",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Phylloscopus.collybita",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Phylloscopus.trochilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulus.ignicapilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxicola.rubetra",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"Saxicola.rubicola",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Sturnus.unicolor",0,0,0,0,0,5,0,0,47,0,0,0,0,0,0
"Sturnus.vulgaris",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Sylvia.atricapilla",2,1,1,0,21,107,0,0,313,2,0,1,0,5,0
"Sylvia.borin",0,0,3,0,0,0,0,2,25,0,0,0,18,0,0
"Sylvia.cantillans",0,0,0,0,0,0,0,0,1,0,1,0,4,0,0
"Sylvia.communis",0,0,0,0,0,0,0,1,4,0,2,0,2,0,0
"Sylvia.conspicillata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia.hortensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sylvia.melanocephala",1,0,4,0,0,1,0,7,168,0,4,2,2,0,0
"Sylvia.undata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turdus.iliacus",0,0,0,0,0,14,0,0,13,0,0,0,0,0,0
"Turdus.merula",0,5,0,2,4,53,5,3,87,4,5,0,25,2,0
"Turdus.philomelos",0,3,0,0,5,96,0,0,113,0,0,0,0,0,0
"Turdus.viscivorus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
