"","Alectoris.rufa","Cettia.cetti","Chloris.chloris","Columba.palumbus","Cyanopica.cooki","Erithacus.rubecula","Fringilla.coelebs","Phoenicurus.ochruros","Phylloscopus.collybita","Streptopelia.decaocto","Sturnus.unicolor","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.undata","Turdus.merula","Turdus.philomelos"
"301",0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
"302",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"304",0,0,0,0,0,16,0,0,0,0,0,1,29,1,0,0
"305",0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
"306",0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
"307",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,6,0,0,3,0,0,0,1,0,0,0
"309",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"310",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"311",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"312",0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"313",0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0
"314",0,0,0,0,0,3,0,0,0,0,0,3,9,0,0,0
"315",0,0,0,0,0,12,0,0,1,0,0,1,10,1,0,1
"316",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"317",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"318",0,0,0,0,0,5,0,0,0,0,0,0,4,0,2,0
"319",0,0,0,0,0,8,0,0,0,0,0,1,9,1,0,0
"320",0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0
"321",0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0
"322",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"323",0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
"324",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"325",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"326",0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0
"327",0,0,0,0,0,19,0,0,0,0,0,1,11,3,1,0
"328",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"329",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"330",0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"331",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"332",0,0,0,0,0,21,0,0,0,0,0,1,8,0,3,0
"333",0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
"334",0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0
"335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336",0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0
"337",0,0,0,0,0,10,0,0,0,0,0,1,14,2,0,0
"338",0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0
"339",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"340",0,0,0,0,0,4,0,0,1,0,0,0,9,1,0,0
